//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	438	925	5	5	0	0	10s	100	2	3316
m	422	903	5	5	0	0	10s	100	2	3316
m	407	893	5	5	0	0	10s	100	2	3316
m	380	891	5	5	0	0	10s	100	2	3316
m	361	891	5	5	0	0	10s	100	2	3316
m	342	890	5	5	0	0	10s	100	2	3316
m	330	874	5	5	0	0	10s	100	2	3316
m	321	855	5	5	0	0	10s	100	2	3316
m	308	843	5	5	0	0	10s	100	2	3316
m	299	823	5	5	0	0	10s	100	2	3316
m	289	803	5	5	0	0	10s	100	2	3316
m	283	794	5	5	0	0	10s	100	2	3316
m	278	784	5	5	0	0	10s	100	2	3316
m	265	766	5	5	0	0	10s	100	2	3316
m	251	754	5	5	0	0	10s	100	2	3316
m	236	744	5	5	0	0	10s	100	2	3316
m	226	721	5	5	0	0	10s	100	2	3316
m	225	692	5	5	0	0	10s	100	2	3316
m	225	660	5	5	0	0	10s	100	2	3316
m	202	633	5	5	0	0	10s	100	2	3316
m	168	615	5	5	0	0	10s	100	2	3316
m	152	613	5	5	0	0	10s	100	2	3316
m	153	647	5	5	0	0	10s	100	2	3316
m	173	654	5	5	0	0	10s	100	2	3316
m	172	678	5	5	0	0	10s	100	2	3316
m	146	679	5	5	0	0	10s	100	2	3316
m	188	688	5	5	0	0	10s	100	2	3316
m	188	672	5	5	0	0	10s	100	2	3316
m	183	638	5	5	0	0	10s	100	2	3316
m	196	613	5	5	0	0	10s	100	2	3316
m	227	620	5	5	0	0	10s	100	2	3316
m	223	641	5	5	0	0	10s	100	2	3316
m	204	651	5	5	0	0	10s	100	2	3316
m	210	683	5	5	0	0	10s	100	2	3316
m	207	708	5	5	0	0	10s	100	2	3316
m	152	627	5	5	0	0	10s	100	2	3319
m	142	600	5	5	0	0	10s	100	2	3319
m	160	600	5	5	0	0	10s	100	2	3319
m	165	624	5	5	0	0	10s	100	2	3319
m	181	625	5	5	0	0	10s	100	2	3319
m	177	606	5	5	0	0	10s	100	2	3319
m	207	607	5	5	0	0	10s	100	2	3319
m	212	618	5	5	0	0	10s	100	2	3319
m	237	631	5	5	0	0	10s	100	2	3319
m	233	649	5	5	0	0	10s	100	2	3319
m	190	652	5	5	0	0	10s	100	2	3319
m	166	647	5	5	0	0	10s	100	2	3319
m	161	671	5	5	0	0	10s	100	2	3319
m	177	704	5	5	0	0	10s	100	2	3319
m	193	722	5	5	0	0	10s	100	2	3319
m	224	706	5	5	0	0	10s	100	2	3319
m	198	668	5	5	0	0	10s	100	2	3319
m	228	672	5	5	0	0	10s	100	2	3319
m	242	643	5	5	0	0	10s	100	2	3319
m	246	614	5	5	0	0	10s	100	2	3319
m	245	762	5	5	0	0	10s	100	2	3319
