//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	402	453	5	5	0	0	60s	100	2	3306
m	402	468	5	5	0	0	60s	100	2	3306
m	420	471	5	5	0	0	60s	100	2	3306
m	442	468	5	5	0	0	60s	100	2	3306
m	460	468	5	5	0	0	60s	100	2	3306
m	460	439	5	5	0	0	60s	100	2	3306
m	460	451	5	5	0	0	60s	100	2	3306
m	459	427	5	5	0	0	60s	100	2	3306
m	484	426	5	5	0	0	60s	100	2	3306
m	504	425	5	5	0	0	60s	100	2	3306
m	500	448	5	5	0	0	60s	100	2	3306
m	501	470	5	5	0	0	60s	100	2	3306
m	504	487	5	5	0	0	60s	100	2	3306
m	501	505	5	5	0	0	60s	100	2	3306
m	501	515	5	5	0	0	60s	100	2	3306
m	479	519	5	5	0	0	60s	100	2	3306
m	467	519	5	5	0	0	60s	100	2	3306
m	411	471	5	5	0	0	60s	100	2	3307
m	435	469	5	5	0	0	60s	100	2	3307
m	449	473	5	5	0	0	60s	100	2	3307
m	453	462	5	5	0	0	60s	100	2	3307
m	472	426	5	5	0	0	60s	100	2	3307
m	498	425	5	5	0	0	60s	100	2	3307
m	502	441	5	5	0	0	60s	100	2	3307
m	390	469	5	5	0	0	60s	100	2	3307
m	373	471	5	5	0	0	60s	100	2	3307
m	349	474	5	5	0	0	60s	100	2	3307
m	331	472	5	5	0	0	60s	100	2	3307
m	315	471	5	5	0	0	60s	100	2	3307
m	309	451	5	5	0	0	60s	100	2	3307
m	310	422	5	5	0	0	60s	100	2	3307
m	307	392	5	5	0	0	60s	100	2	3307
m	310	363	5	5	0	0	60s	100	2	3307
m	310	342	5	5	0	0	60s	100	2	3307
m	331	338	5	5	0	0	60s	100	2	3307
m	377	338	5	5	0	0	60s	100	2	3307
m	408	338	5	5	0	0	60s	100	2	3307
m	442	339	5	5	0	0	60s	100	2	3307
m	360	468	5	5	0	0	60s	100	2	3308
m	343	468	5	5	0	0	60s	100	2	3308
m	309	461	5	5	0	0	60s	100	2	3308
m	311	435	5	5	0	0	60s	100	2	3308
m	309	403	5	5	0	0	60s	100	2	3308
m	309	377	5	5	0	0	60s	100	2	3308
m	319	340	5	5	0	0	60s	100	2	3308
m	351	339	5	5	0	0	60s	100	2	3308
m	365	341	5	5	0	0	60s	100	2	3308
m	388	340	5	5	0	0	60s	100	2	3308
m	423	337	5	5	0	0	60s	100	2	3308
m	447	351	5	5	0	0	60s	100	2	3308
m	429	342	5	5	0	0	60s	100	2	3308
m	503	414	5	5	0	0	60s	100	2	3309
m	504	391	5	5	0	0	60s	100	2	3309
m	502	380	5	5	0	0	60s	100	2	3309
m	503	353	5	5	0	0	60s	100	2	3309
m	503	331	5	5	0	0	60s	100	2	3309
m	503	310	5	5	0	0	60s	100	2	3309
m	502	297	5	5	0	0	60s	100	2	3309
m	440	299	5	5	0	0	60s	100	2	3309
m	470	297	5	5	0	0	60s	100	2	3309
m	378	297	5	5	0	0	60s	100	2	3309
m	331	298	5	5	0	0	60s	100	2	3309
m	286	297	5	5	0	0	60s	100	2	3309
m	268	333	5	5	0	0	60s	100	2	3309
